Component,Type,Letter,Score
Rotated_Component_1,Positive,Nah,48.41422378437009
Rotated_Component_1,Positive,it was stupid,46.10411958356477
Rotated_Component_1,Positive,I have no idea how to answer this question,45.74172453483231
Rotated_Component_1,Positive,I don't care.,45.44030250539355
Rotated_Component_1,Positive,We dont want it!,43.24888975084121
Rotated_Component_1,Negative,"Senator, please re-introduce the bill as it is important to promote gender equality and women empowerment.",-17.7145081026832
Rotated_Component_1,Negative,It is important to reintroduce this bill to help empower women and support women.,-16.533033352643628
Rotated_Component_1,Negative,"Dear Senator, it is of great importance to reintroduce bill S. 3301. As a woman myself I feel that it is time to have women representing us and to promote gender equality. With this bill we will be able to train female leaders that can make an impact and give everyone a better tomorrow.
 Thank you very much.",-15.064935455636515
Rotated_Component_1,Negative,"Please re-introduce this legislation, as it is important for women to be leaders, and to get the support they need in those endeavors.",-14.447924478289304
Rotated_Component_1,Negative,"Dear Senator,
 It is imperative that this bill be re-introduced in order to aid female representation in political offices. Women leaders are vastly under-represented and there needs to be systematic change enacted in order to substantiate their voices.",-14.411633322600977
Rotated_Component_2,Positive,"dear senator in all of my years of employment anytime a woman was in charge or the main boss it was never as good as a man in charge, a woman did not to listen to others opinions and cared too much about the numbers and not the gut way of getting things done. i say leave things the way they are because men have far better qualities than woman to be leaders.",17.520180458059762
Rotated_Component_2,Positive,"Given women political leaders' strong performance, it is surprising that women remain under-represented at the highest levels of American politics. Less than half of the states have elected a woman governor. Every American president has been a man.",17.30057421088837
Rotated_Component_2,Positive,I think that women are more level headed and don't lose their temper or composure as much as men do. They are a little more professional at staying calm and together. Men tend to make snap judgements and react on them quickly while women will kind of take a step back and think about the situation a little more than a man would typically maybe.,16.928019057926043
Rotated_Component_2,Positive,"I don't mind women doing certain things, but I just prefer men to be in the leadership role of politics. Nothing wrong with a woman being in that role, but I just feel that men are stronger in this area. I am woman but that is just what i believe about this subject.",16.801278645955872
Rotated_Component_2,Positive,"Each politician's popularity depends on the political leanings of their voter base, how well they get the public on board with their ideas, and how memorable they become over time.",16.586635042151414
Rotated_Component_2,Negative,I support this bill.,-43.42500045980599
Rotated_Component_2,Negative,It is important to reintroduce this bill to help empower women and support women.,-42.635993596115945
Rotated_Component_2,Negative,It is a crucial bill for the rights of female employee's and workers.,-41.565248734041404
Rotated_Component_2,Negative,"The bill needs to be approved for the purpose of global empowerment, development and prosperity of women.",-41.30383350583241
Rotated_Component_2,Negative,"The bill needs to be approved for the purpose of global empowerment, development and prosperity of women.",-41.30383350583241
Rotated_Component_3,Positive,"This is an expensive solution to a non-existent problem. Women have the same opportunities as men, if not more, and it would be completely unfair and sexist to create an government office that benefited only one sex.",19.60125682410335
Rotated_Component_3,Positive,"Women deserve to have the same opportunities as men. By setting up the office, we ensure that women can be on the same equal plane as men.",18.640604603588905
Rotated_Component_3,Positive,"There are far better things that our government leadership could be doing with their time than creating an office that will only offer resources to one half of the population. The barriers that women face in the workforce is not something that the government can really change, but is rather woven into corporate culture, over which the government has no power.",18.34364524285572
Rotated_Component_3,Positive,"While I think that women could use training and workshops to further their careers and advance through management, I feel that women shouldn't be singled out. Everyone whether they identify as female, male, or other should have access to training that could help them improve their work situation. I also don't feel that this sort of training is the place of the government. Businesses should be encouraged to offer advancement and training to their employees and help them grow in their role at their company. I don't think that there is any system failure that women are being discriminated against at any huge level.",18.30983351137165
Rotated_Component_3,Positive,"I believe this bill would be beneficial to the empowerment of women in the workplace. A big issue surrounding women's rights at the moment is that women aren't equally represented in government and so it's left to men to make decisions on women's behalf. It could be seen as gender inequality to have an office of women empowerment, but the government has always supported mens rights throughout history.",18.281956879218278
Rotated_Component_3,Negative,Please re-introduce this legislation!,-43.6417068210445
Rotated_Component_3,Negative,Please re-introduce this legislation! Thank you!,-39.458722924043215
Rotated_Component_3,Negative,re-Introduce this piece of legislation,-38.86459433577375
Rotated_Component_3,Negative,Please reintroduce this bill to senate,-33.70351754551819
Rotated_Component_3,Negative,Hello! Can we reintroduce this. Goodbye.,-33.44204466270991
Rotated_Component_4,Positive,"This is a women's Global Empowerment, Development and Prosperity",45.17473186605709
Rotated_Component_4,Positive,"The development, and prosperity of women globally.",43.7793908836901
Rotated_Component_4,Positive,"The development, and prosperity of women globally.",43.7793908836901
Rotated_Component_4,Positive,"Women's Global Empowerment, Development of women in the U.S.",41.75672321606918
Rotated_Component_4,Positive,i feel that the future needs to be empowering,39.0192285772629
Rotated_Component_4,Negative,"Dear Senator, 
 I am convinced that this bill should be re-introduced.",-18.352262377137976
Rotated_Component_4,Negative,Please do not re-introduce this bill. The apparent conclusion that this bill is unnecessary and attempting to be forceful in discrimination is obvious.,-18.101005574602006
Rotated_Component_4,Negative,"please do not reintroduce this bill.
 
 ty",-18.046778460166085
Rotated_Component_4,Negative,"Dear Senator;
 
 I continue to encourage you to not reintroduce this failed bill. Instead of wasting time with a bill that is doomed to fail, I encourage you to seek areas of real need for ALL Americans and focus your efforts to addressing these shared needs. Thanks for your time!",-17.40249110314903
Rotated_Component_4,Negative,Do not reintroduce this bill. It is not authorized by the Constitution and you have taken an oath to the Constitution,-17.218781182560274
Rotated_Component_5,Positive,I FEEL IT'S RIGHT,63.83332369346276
Rotated_Component_5,Positive,because it's good,57.80160636374996
Rotated_Component_5,Positive,because it's very good,48.08845920664074
Rotated_Component_5,Positive,I dont have time,42.07111855253129
Rotated_Component_5,Positive,it was stupid,41.79144671555668
Rotated_Component_5,Negative,This bill would promote the empowerment of women in the U.S. and other countries by establishing a dedicated office of women empowerment within the Office of the Secretary of the Department of State. This office would work with other departments of the U.S. government to help formulate policies and programs that would promote gender equality and women empowerment .,-20.92284495373522
Rotated_Component_5,Negative,This bill would promote the empowerment of women in the U.S. and other countries by establishing dedicated offices of women empowerment within the Office of the Secretary of the Department of State,-20.744753371779233
Rotated_Component_5,Negative,This bill (S. 3301) would promote the empowerment of women in the U.S. and other countries by establishing a dedicated office of women empowerment within the Office of the Secretary of the Department of State.,-20.63390282651436
Rotated_Component_5,Negative,This bill (S. 3301) would promote the empowerment of women in the U.S. and other countries by establishing a dedicated office of women empowerment within the Office of the Secretary of the Department of State.,-20.63390282651436
Rotated_Component_5,Negative,This bill would promote the empowerment of women in the U.S. and other countries by establishing a dedicated office of women empowerment within the Office of the Secretary of the Department of State. This office would work with other departments of the U.S. government to help formulate policies and programs that would promote gender equality and women empowerment.,-20.356896544887764
Rotated_Component_6,Positive,reintroduce the bill,17.150929350432218
Rotated_Component_6,Positive,actually i do not reintroduce it,16.760599317074718
Rotated_Component_6,Positive,introduce,16.710060996947952
Rotated_Component_6,Positive,i do not like to re-introduced it,16.341260299239465
